GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebSignature.Builder,0,12,0,0,0,2,0,2,0,2
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebKey.Type,0,182,0,12,0,29,0,13,0,7
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebKey.Use,0,40,0,0,0,7,0,4,0,4
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebToken,0,21,0,0,0,4,0,4,0,4
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,PemEncoded.new Iterator() {...},0,204,0,20,0,36,0,13,0,3
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebEncryption.Builder,0,12,0,0,0,2,0,2,0,2
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebEncryptionRecipient.Builder,0,15,0,0,0,3,0,3,0,3
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,PemEncoded.KeyType,0,27,0,0,0,5,0,1,0,1
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebKeyReference,0,4,0,0,0,2,0,2,0,2
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebCryptoHeader.Param,0,311,0,2,0,32,0,17,0,16
IU Java Utilities API Reference/iu-java-crypt,edu.iu.crypt,WebKey.Operation,0,82,0,0,0,14,0,4,0,4
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt.init,CryptImplResource,0,4,0,0,0,3,0,1,0,1
IU Java Utilities API Reference/iu-java-crypt-impl,iu.crypt,JwkBuilder,0,634,0,39,0,118,0,47,0,25
